City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,mwinilunga,-11.7358,24.4293,19.09,89,98,5.45,ZM,1697381558
369,mirnyy,62.5353,113.9611,-2.09,100,100,1.79,RU,1697381558
370,gidam,18.9833,81.4,23.72,62,68,0.67,IN,1697381558
371,cao bang,22.6667,106.25,20.4,82,21,0.96,VN,1697381558
372,nabire,-3.3667,135.4833,24.79,90,78,1.38,ID,1697381558
373,manismata,-2.4667,111.0333,25.72,87,55,1.16,ID,1697381559
374,touros,-5.1989,-35.4608,29.85,54,100,8.68,BR,1697381559
375,yelizovo,53.1873,158.3805,7.11,100,75,1.0,RU,1697381559
376,troitsko-pechorsk,62.7084,56.1964,2.05,96,100,4.47,RU,1697381559
377,havana,23.133,-82.383,28.24,83,20,2.57,CU,1697381559
378,san jose del cabo,23.0589,-109.6977,28.74,78,0,1.54,MX,1697381559
379,santiago de cao,-7.9589,-79.2392,20.07,83,75,3.6,PE,1697381559
380,wailua homesteads,22.0669,-159.378,22.64,82,100,1.54,US,1697381560
381,san julian,21.0167,-102.1667,17.76,67,99,2.53,MX,1697381560
382,ivrindi,39.5839,27.4864,25.92,45,0,2.31,TR,1697381560
383,north tamworth,-31.0778,150.9261,16.06,41,0,0.0,AU,1697381560
384,thunder bay,48.4001,-89.3168,5.99,87,75,2.57,CA,1697381560
385,palikir - national government center,6.9248,158.1611,24.41,88,100,1.54,FM,1697381561
386,mount isa,-20.7333,139.5,21.87,17,0,3.6,AU,1697381561
387,emirdag,39.0197,31.15,16.31,55,80,3.82,TR,1697381561
388,tezu,27.9167,96.1667,21.39,72,19,1.58,IN,1697381561
389,bulnes,-36.7423,-72.2985,9.42,58,2,3.53,CL,1697381561
390,kerikeri,-35.2268,173.9474,9.95,91,25,1.46,NZ,1697381561
391,acajutla,13.5928,-89.8275,28.87,74,49,1.12,SV,1697381561
392,tolanaro,-25.0319,46.9987,23.04,88,75,4.12,MG,1697381562
393,fontanelas,38.8472,-9.4372,23.17,92,40,4.63,PT,1697381562
394,mikhaylovskoye,51.8239,79.7172,7.44,84,73,2.85,RU,1697381562
395,tiassale,5.8983,-4.8283,27.74,82,100,1.53,CI,1697381562
396,harstad,68.799,16.5293,2.67,97,100,19.67,NO,1697381562
397,adrar,20.5022,-10.0711,35.25,9,1,6.77,MR,1697381563
398,hakha,22.65,93.6167,13.15,95,7,0.45,MM,1697381563
399,dapa,9.7594,126.0531,26.86,80,53,0.9,PH,1697381563
400,regente feijo,-22.2214,-51.3028,28.6,54,0,4.12,BR,1697381563
401,aberdeen,57.1437,-2.0981,9.55,79,75,6.69,GB,1697381374
402,kamennogorsk,60.9545,29.1339,5.31,78,91,5.52,RU,1697381563
403,antigonish,45.6169,-61.9986,14.59,71,27,1.79,CA,1697381564
404,island harbour,50.724,-1.2758,12.32,54,77,2.68,GB,1697381564
405,sinabang,2.4803,96.3801,25.87,85,94,2.92,ID,1697381564
406,kanigiri,15.4,79.5167,27.52,69,53,3.16,IN,1697381564
407,ilhabela,-23.7781,-45.3581,23.06,81,98,2.33,BR,1697381513
408,kalabo,-14.97,22.6814,26.04,48,100,2.27,ZM,1697381565
409,aginskoye,51.1,114.53,2.08,50,29,1.75,RU,1697381565
410,ausa,41.9271,2.2497,21.62,75,93,4.92,ES,1697381565
411,az zawr,29.4425,48.2747,33.9,54,0,4.18,KW,1697381565
412,ascension,30.2169,-90.9001,18.33,70,0,2.57,US,1697381565
413,pekan,3.4836,103.3996,27.06,85,94,1.79,MY,1697381566
414,bartica,6.4,-58.6167,32.18,76,56,2.05,GY,1697381568
415,mascara,35.3966,0.1403,27.51,32,9,3.9,DZ,1697381568
416,alupka,44.4167,34.05,18.58,82,73,0.6,UA,1697381569
417,rio claro,-22.4114,-47.5614,30.78,61,22,2.14,BR,1697381354
418,lihue,21.9789,-159.3672,22.98,83,100,1.54,US,1697381570
419,greymouth,-42.4667,171.2,9.08,68,86,4.66,NZ,1697381360
420,santa lucia,27.9117,-15.5407,24.62,51,0,4.12,ES,1697381571
421,mongo,12.1844,18.693,36.42,24,99,2.99,TD,1697381571
422,sola,-13.8833,167.55,26.19,83,51,6.42,VU,1697381572
423,kawalu,-7.3817,108.2082,22.4,94,98,0.44,ID,1697381572
424,kismayo,-0.3582,42.5454,26.98,82,16,4.76,SO,1697381573
425,point pedro,9.8167,80.2333,27.57,79,87,3.92,LK,1697381573
